SurveyID,RegistrationID,SurveySatisfactionScore,SurveyUsefulnessScore,SurveyInstructorScore,SurveyRecommendationScore,SurveyOverallScore,SurveyNPSBucket,SurveyComments,SurveySubmissionDate
S41,R55,4,5,4,4,4.25,Passive,"At first, it boosted my confidence more than I expected, the mentor roundtable during Leadership Circle Meetup really clicked for me! To be fair, the resume clinic during Leadership Circle Meetup really clicked for me, the hands-on segment tied everything together. I left with actionable next steps, the networking breakouts during Leadership Circle Meetup really clicked for me; It was useful overall.",2022-12-15 22:12:00
S42,R57,5,5,5,5,5.0,Promoter,"I left with actionable next steps, the networking breakouts during Girls in STEAM Mentoring really clicked for me; I'd definitely recommend this to a friend. I didn't expect this, but, the pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me. Overall, the organizers ran things smoothly even with a big crowd, the panel Q&A during Girls in STEAM Mentoring really clicked for me.",2025-05-14 03:17:00
S43,R59,5,4,5,5,4.75,Promoter,"The networking breakouts during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; This pushed me to apply for a related program. (snacks were a plus). By the end, the pacing made complex ideas feel doable, the resume clinic during Mentor Office Hours really clicked for me. From my perspective, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'd definitely recommend this to a friend.",2023-10-01 16:01:00
S44,R60,5,5,4,4,4.5,Passive,"The color theory lesson during Intro to Painting Class really clicked for me, the hands-on segment tied everything together; This pushed me to apply for a related program.",2025-09-05 03:24:00
S45,R61,3,5,5,5,4.5,Promoter,"Overall, the Python lab during Robotics Lab Saturday really clicked for me, the pacing made complex ideas feel doable! I didn't expect this, but, the web dev sprint during Robotics Lab Saturday really clicked for me, the mentors were down-to-earth and answered real questions; I'd come again and bring a classmate next time! I didn't expect this, but, the hands-on segment tied everything together, the web dev sprint during Robotics Lab Saturday really clicked for me.",2024-04-27 23:29:00
S46,R62,5,4,5,5,4.75,Promoter,"I met people who want to collaborate on projects, the web dev sprint during Robotics Lab Saturday really clicked for me. The Python lab during Robotics Lab Saturday really clicked for me, I met people who want to collaborate on projects; I left energized to keep learning.",2023-03-05 09:29:00
S47,R63,5,5,5,4,4.75,Passive,"The hands-on segment tied everything together, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me (wish there had been more time)! From my perspective, the pacing made complex ideas feel doable, the networking breakouts during Girls in STEAM Mentoring really clicked for me.",2024-08-07 08:24:00
S48,R67,5,4,5,5,4.75,Promoter,"Honestly, the pacing made complex ideas feel doable, the panel Q&A during Girls in STEAM Mentoring really clicked for me; I'd definitely recommend this to a friend. At first, there were concrete examples I can reuse at school, the panel Q&A during Girls in STEAM Mentoring really clicked for me. In my opinion, the resume clinic during Girls in STEAM Mentoring really clicked for me, the mentors were down-to-earth and answered real questions; I left energized to keep learning.",2022-09-27 17:18:00
S49,R68,3,4,5,5,4.25,Promoter,"The coding challenges during Data Science Study Group really clicked for me, there were concrete examples I can reuse at school. I didn't expect this, but, I left with actionable next steps, the coding challenges during Data Science Study Group really clicked for me; I might recommend it depending on the topic! The hands-on segment tied everything together, the Python lab during Data Science Study Group really clicked for me; It was useful overall.",2025-09-24 12:24:00
S50,R69,4,5,5,5,4.75,Promoter,"It boosted my confidence more than I expected, the resume clinic during Girls in STEAM Mentoring really clicked for me. The resume clinic during Girls in STEAM Mentoring really clicked for me, the pacing made complex ideas feel doable; I'd come again and bring a classmate next time. At first, the networking breakouts during Girls in STEAM Mentoring really clicked for me, the organizers ran things smoothly even with a big crowd; This was absolutely worth the time!",2024-10-16 22:10:00
S51,R70,4,4,4,4,4.0,Passive,"The Python lab during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd; I'm curious to see how the next session improves. The robot build during Robotics Lab Saturday really clicked for me, it boosted my confidence more than I expected — which surprised me in a good way. To be fair, it boosted my confidence more than I expected, the Python lab during Robotics Lab Saturday really clicked for me; It was useful overall. — next time I'd bring a friend. There were concrete examples I can reuse at school, the coding challenges during Robotics Lab Saturday really clicked for me; I'm curious to see how the next session improves.",2022-09-26 06:26:00
S52,R71,5,4,5,5,4.75,Promoter,"There were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me; This pushed me to apply for a related program. (wish there had been more time)! By the end, the networking breakouts during Mentor Office Hours really clicked for me, I met people who want to collaborate on projects. By the end, there were concrete examples I can reuse at school, the mentor roundtable during Mentor Office Hours really clicked for me; I left energized to keep learning. (snacks were a plus).",2021-11-14 17:13:00
S53,R72,4,5,5,5,4.75,Promoter,"I left with actionable next steps, the goal-setting exercise during Mentor Office Hours really clicked for me; I'd definitely recommend this to a friend! The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd! The networking breakouts during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd.",2025-10-05 11:13:00
S54,R73,5,4,4,3,4.0,Detractor,"At first, I left with actionable next steps, the robot build during Data Science Study Group really clicked for me. Overall, the coding challenges during Data Science Study Group really clicked for me, the mentors were down-to-earth and answered real questions; I might recommend it depending on the topic. — next time I'd bring a friend. By the end, the robot build during Data Science Study Group really clicked for me, the hands-on segment tied everything together.",2023-05-31 11:23:00
S55,R74,4,5,5,5,4.75,Promoter,"To be fair, it boosted my confidence more than I expected, the panel Q&A during Mentor Office Hours really clicked for me; I left energized to keep learning. — especially for beginners. Honestly, the hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me; I left energized to keep learning. The mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd; This was absolutely worth the time.",2025-07-21 11:24:00
S56,R75,4,4,5,4,4.25,Passive,"The mentors were down-to-earth and answered real questions, the mentor roundtable during Mentor Office Hours really clicked for me; I'm curious to see how the next session improves. Honestly, the mentor roundtable during Mentor Office Hours really clicked for me, the organizers ran things smoothly even with a big crowd. The mentor roundtable during Mentor Office Hours really clicked for me, there were concrete examples I can reuse at school (snacks were a plus). There were concrete examples I can reuse at school, the panel Q&A during Mentor Office Hours really clicked for me — especially for beginners.",2024-06-09 12:25:00
S57,R76,5,4,5,5,4.75,Promoter,"The pacing made complex ideas feel doable, the Python lab during Robotics Lab Saturday really clicked for me; I'd come again and bring a classmate next time. It boosted my confidence more than I expected, the Python lab during Robotics Lab Saturday really clicked for me; I'd come again and bring a classmate next time. By the end, the pacing made complex ideas feel doable, the Python lab during Robotics Lab Saturday really clicked for me — next time I'd bring a friend.",2021-12-04 15:17:00
S58,R77,5,3,5,5,4.5,Promoter,"The robot build during Data Science Study Group really clicked for me, the organizers ran things smoothly even with a big crowd; I left energized to keep learning. — next time I'd bring a friend. From my perspective, the coding challenges during Data Science Study Group really clicked for me, it boosted my confidence more than I expected; I'd definitely recommend this to a friend!",2025-08-13 23:23:00
S59,R78,4,4,5,4,4.25,Passive,"The mentors were down-to-earth and answered real questions, the coding challenges during Web Dev Bootcamp Night really clicked for me! In my opinion, the Arduino demo during Web Dev Bootcamp Night really clicked for me, the pacing made complex ideas feel doable; I'd attend again with a clearer agenda. At first, the organizers ran things smoothly even with a big crowd, the robot build during Web Dev Bootcamp Night really clicked for me; I'd attend again with a clearer agenda!",2023-03-24 22:09:00
S60,R80,5,4,5,5,4.75,Promoter,"The Python lab during Monthly Coding Club really clicked for me, I met people who want to collaborate on projects. The coding challenges during Monthly Coding Club really clicked for me, the pacing made complex ideas feel doable; This pushed me to apply for a related program. From my perspective, it boosted my confidence more than I expected, the coding challenges during Monthly Coding Club really clicked for me; I left energized to keep learning. From my perspective, the coding challenges during Monthly Coding Club really clicked for me, the mentors were down-to-earth and answered real questions; I left energized to keep learning.",2024-02-16 09:13:00
S61,R81,5,5,4,4,4.5,Passive,"Overall, it boosted my confidence more than I expected, the web dev sprint during Data Science Study Group really clicked for me! There were concrete examples I can reuse at school, the coding challenges during Data Science Study Group really clicked for me (wish there had been more time)! Honestly, the pacing made complex ideas feel doable, the web dev sprint during Data Science Study Group really clicked for me.",2023-09-01 06:23:00
S62,R82,5,4,4,3,4.0,Detractor,"I met people who want to collaborate on projects, the goal-setting exercise during Mentor Office Hours really clicked for me; It was useful overall. — which surprised me in a good way. Honestly, I met people who want to collaborate on projects, the panel Q&A during Mentor Office Hours really clicked for me; It was useful overall.",2025-09-02 01:24:00
S63,R83,5,5,5,4,4.75,Passive,"If I'm being honest, the Arduino demo during Data Science Study Group really clicked for me, the pacing made complex ideas feel doable; I'd definitely recommend this to a friend. I didn't expect this, but, the organizers ran things smoothly even with a big crowd, the Arduino demo during Data Science Study Group really clicked for me; I left energized to keep learning! The web dev sprint during Data Science Study Group really clicked for me, I left with actionable next steps; I left energized to keep learning.",2025-10-30 23:08:00
S64,R84,4,4,3,5,4.0,Promoter,"The Arduino demo during Web Dev Bootcamp Night really clicked for me, the hands-on segment tied everything together; I might recommend it depending on the topic. — which surprised me in a good way. The web dev sprint during Web Dev Bootcamp Night really clicked for me, I met people who want to collaborate on projects; I'd attend again with a clearer agenda!",2025-02-15 15:12:00
S65,R86,4,5,4,5,4.5,Promoter,"The robot build during Data Science Study Group really clicked for me, it boosted my confidence more than I expected; I left energized to keep learning. I didn't expect this, but, I met people who want to collaborate on projects, the data activity during Data Science Study Group really clicked for me; I'd come again and bring a classmate next time.",2022-02-10 19:04:00
S66,R87,3,4,4,4,3.75,Passive,"Slides were dense, though the discussion helped, and the watercolor session was helpful during Intro to Painting Class. I'd attend again with a clearer agenda. I knew parts of it already, but I still learned something, and the watercolor session was helpful during Intro to Painting Class. I'm curious to see how the next session improves! The room was a bit crowded, yet the content landed, and the sketch warmups was helpful during Intro to Painting Class. I might recommend it depending on the topic!",2024-04-12 15:08:00
S67,R88,3,5,5,3,4.0,Detractor,"It boosted my confidence more than I expected, the web dev sprint during Robotics Lab Saturday really clicked for me; I'd attend again with a clearer agenda. By the end, the hands-on segment tied everything together, the data activity during Robotics Lab Saturday really clicked for me; It was useful overall. The robot build during Robotics Lab Saturday really clicked for me, the organizers ran things smoothly even with a big crowd; I might recommend it depending on the topic. — especially for beginners.",2023-08-21 02:21:00
S68,R89,4,4,4,5,4.25,Promoter,"Surprisingly, the panel Q&A during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected (snacks were a plus). It boosted my confidence more than I expected, the mentor roundtable during Mentor Office Hours really clicked for me.",2024-09-30 21:02:00
S69,R91,5,4,5,4,4.5,Passive,"To be fair, the organizers ran things smoothly even with a big crowd, the coding challenges during Data Science Study Group really clicked for me. Honestly, the Python lab during Data Science Study Group really clicked for me, it boosted my confidence more than I expected.",2024-04-11 06:09:00
S70,R92,4,4,4,5,4.25,Promoter,"It boosted my confidence more than I expected, the networking breakouts during Mentor Office Hours really clicked for me. Surprisingly, the resume clinic during Mentor Office Hours really clicked for me, the hands-on segment tied everything together — next time I'd bring a friend.",2023-03-12 17:18:00
S71,R94,5,5,4,5,4.75,Promoter,"It boosted my confidence more than I expected, the panel Q&A during Girls in STEAM Mentoring really clicked for me. Surprisingly, the goal-setting exercise during Girls in STEAM Mentoring really clicked for me, it boosted my confidence more than I expected. The mentors were down-to-earth and answered real questions, the mentor roundtable during Girls in STEAM Mentoring really clicked for me; This pushed me to apply for a related program.",2025-02-20 06:08:00
S72,R95,5,5,5,4,4.75,Passive,"Surprisingly, the networking breakouts during Mentor Office Hours really clicked for me, the hands-on segment tied everything together. The organizers ran things smoothly even with a big crowd, the resume clinic during Mentor Office Hours really clicked for me. From my perspective, the networking breakouts during Mentor Office Hours really clicked for me, I left with actionable next steps; This was absolutely worth the time.",2025-10-14 00:08:00
S73,R96,4,5,5,5,4.75,Promoter,"The hands-on segment tied everything together, the resume clinic during Mentor Office Hours really clicked for me; I left energized to keep learning. — which surprised me in a good way! The hands-on segment tied everything together, the goal-setting exercise during Mentor Office Hours really clicked for me!",2022-09-25 17:08:00
S74,R97,5,5,5,5,5.0,Promoter,"The resume clinic during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions! From my perspective, the mentor roundtable during Mentor Office Hours really clicked for me, the mentors were down-to-earth and answered real questions (snacks were a plus).",2022-12-18 23:20:00
S75,R98,4,4,5,5,4.5,Promoter,"There were concrete examples I can reuse at school, the watercolor session during Monthly Art Studio Workshop really clicked for me; This was absolutely worth the time! Surprisingly, the sketch warmups during Monthly Art Studio Workshop really clicked for me, the mentors were down-to-earth and answered real questions; I'd definitely recommend this to a friend! To be fair, the color theory lesson during Monthly Art Studio Workshop really clicked for me, I met people who want to collaborate on projects. In my opinion, the gallery walk during Monthly Art Studio Workshop really clicked for me, I left with actionable next steps; This was absolutely worth the time. (wish there had been more time).",2022-07-17 02:24:00
S76,R99,5,4,4,4,4.25,Passive,"From my perspective, the resume clinic during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected. I met people who want to collaborate on projects, the resume clinic during Mentor Office Hours really clicked for me; I'd attend again with a clearer agenda. If I'm being honest, the mentor roundtable during Mentor Office Hours really clicked for me, it boosted my confidence more than I expected; I'm curious to see how the next session improves!",2022-11-14 16:00:00
S77,R100,4,4,5,5,4.5,Promoter,"It boosted my confidence more than I expected, the sketch warmups during Monthly Art Studio Workshop really clicked for me; I'd definitely recommend this to a friend. Surprisingly, the mixed-media project during Monthly Art Studio Workshop really clicked for me, I met people who want to collaborate on projects; I'd definitely recommend this to a friend. At first, the watercolor session during Monthly Art Studio Workshop really clicked for me, the mentors were down-to-earth and answered real questions!",2022-02-16 15:09:00
S78,R101,3,4,5,4,4.0,Passive,"If I'm being honest, the hands-on segment tied everything together, the mixed-media project during Intro to Painting Class really clicked for me. At first, there were concrete examples I can reuse at school, the mixed-media project during Intro to Painting Class really clicked for me.",2025-06-14 05:21:00
S79,R102,4,4,4,4,4.0,Passive,"The mixed-media project during Intro to Painting Class really clicked for me, I left with actionable next steps. The organizers ran things smoothly even with a big crowd, the mixed-media project during Intro to Painting Class really clicked for me; I might recommend it depending on the topic. I didn't expect this, but, the sketch warmups during Intro to Painting Class really clicked for me, the organizers ran things smoothly even with a big crowd (wish there had been more time).",2023-06-30 08:26:00
S80,R103,4,4,4,5,4.25,Promoter,"The gallery walk during Intro to Painting Class really clicked for me, there were concrete examples I can reuse at school! Overall, the color theory lesson during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions; I'd attend again with a clearer agenda. (wish there had been more time). Overall, the watercolor session during Intro to Painting Class really clicked for me, the mentors were down-to-earth and answered real questions (wish there had been more time).",2024-03-29 10:27:00
